"id_cliente";"nome";"email";"telefone";"endereco";"created_at"
"48";"Alessandra Souza";"alessandra.souza5656@gmail.com";"(92) 99101-2345";"Rua São Sebastião, 567, Bairro Adrianópolis, Manaus - AM";"2024-11-26 20:01:03"
"49";"Rafael Martins";"rafael.martins6767@gmail.com";"(92) 99212-3456";"Rua Almirante Barroso, 890, Bairro Nossa Senhora do Perpétuo Socorro, Manaus - AM";"2024-11-26 20:01:03"
"50";"Alice Costa";"alice.costa7878@gmail.com";"(92) 99323-4567";"Rua do Comércio, 123, Bairro Redenção, Manaus - AM";"2024-11-26 20:01:03"
"51";"Rodrigo Pinto";"rodrigo.pinto8989@gmail.com";"(92) 99434-5678";"Avenida Nilton Lins, 456, Bairro Dom Pedro, Manaus - AM";"2024-11-26 20:01:03"
"52";"Thais Ribeiro";"thais.ribeiro9090@gmail.com";"(92) 99545-6789";"Rua das Palmeiras, 789, Bairro Nova Esperança, Manaus - AM";"2024-11-26 20:01:03"
"id_pedido";"id_cliente";"data_pedido";"total"
"id_pedido";"id_produto";"quantidade"
"id_produto";"nome";"tipo";"quantidade";"preco";"created_at"
"4";"Natura Homem Essence 100ml";"Perfume";"1";"204.90";"2024-11-26 18:53:56"
"5";"Natura Ekos - Sabonete Líquido de Açaí";"Sabonete";"1";"41.90";"2024-11-26 20:01:03"
"6";"Natura Tododia - Hidratante Corporal Amêndoas";"Hidratante";"1";"52.90";"2024-11-26 20:01:03"
"7";"Natura Lumina - Shampoo Brilho e Sedosidade";"Sabonete";"1";"55.90";"2024-11-26 20:01:03"
"8";"Natura Mamãe e Bebê - Loção Hidratante";"Hidratante";"1";"44.90";"2024-11-26 20:01:03"
"9";"Natura Todo Dia - Sabonete em Barra";"Sabonete";"1";"19.90";"2024-11-26 20:01:03"
"10";"Natura Kaiak - Perfume Masculino";"Perfume";"1";"149.90";"2024-11-26 20:01:03"
"11";"Natura Humor - Desodorante Colônia";"Perfume";"1";"119.90";"2024-11-26 20:01:03"
"12";"Natura Chronos - Creme Anti-Idade";"Maquiagens";"1";"199.90";"2024-11-26 20:01:03"
"13";"Natura Ekos - Creme para as Mãos de Maracujá";"Hidratante";"1";"31.90";"2024-11-26 20:01:03"
"14";"Natura Essencial - Deo Colônia Masculino";"Perfume";"1";"229.90";"2024-11-26 20:01:03"
"15";"Natura Águas - Desodorante Colônia de Erva Doce";"Perfume";"1";"79.90";"2024-11-26 20:01:03"
"16";"Natura Ekos - Creme de Mãos de Açaí";"Hidratante";"1";"39.90";"2024-11-26 20:01:03"
"17";"Natura Kaiak - Desodorante Colônia";"Perfume";"1";"129.90";"2024-11-26 20:01:03"
"18";"Natura Ekos - Óleo de Buriti";"Hidratante";"1";"119.90";"2024-11-26 20:01:03"
"19";"Natura Tododia - Sabonete Líquido Cacau";"Sabonete";"1";"32.90";"2024-11-26 20:01:03"
"20";"Natura Lumina - Máscara Capilar Reparadora";"Maquiagens";"1";"85.90";"2024-11-26 20:01:03"
"21";"Natura Kaiak - Deo Colônia Fresh";"Perfume";"1";"134.90";"2024-11-26 20:01:03"
"22";"Natura Ekos - Sabonete em Barra de Andiroba";"Sabonete";"1";"23.90";"2024-11-26 20:01:03"
"23";"Natura Ekos - Óleo Corporal de Maracujá";"Hidratante";"1";"54.90";"2024-11-26 20:01:03"
"24";"Natura Sou - Desodorante Colônia Feminina";"Perfume";"1";"89.90";"2024-11-26 20:01:03"
"25";"Natura Todo Dia - Sabonete Líquido de Cacau";"Sabonete";"1";"39.90";"2024-11-26 20:01:03"
"26";"Natura Chronos - Sérum Preenchedor";"Maquiagens";"1";"169.90";"2024-11-26 20:01:03"
"27";"Natura Tododia - Desodorante Spray";"Bodysplash";"1";"39.90";"2024-11-26 20:01:03"
"28";"Natura Ekos - Creme de Mãos de Açaí";"Hidratante";"1";"39.90";"2024-11-26 20:01:03"
"29";"Natura Lumina - Condicionador Brilho e Sedosidade";"Sabonete";"1";"55.90";"2024-11-26 20:01:03"
"30";"Natura Chronos - Protetor Solar Facial";"Maquiagens";"1";"129.90";"2024-11-26 20:01:03"
"31";"Natura Kaiak - Gel Pós-Barba";"Hidratante";"1";"49.90";"2024-11-26 20:01:03"
"32";"Natura Águas - Sabonete Líquido de Erva Doce";"Sabonete";"1";"39.90";"2024-11-26 20:01:03"
"33";"Natura Tododia - Sabonete Líquido de Cereja e Avelã";"Sabonete";"1";"39.90";"2024-11-26 20:01:03"
"34";"Natura Lumina - Shampoo e Condicionador 2 em 1";"Sabonete";"1";"55.90";"2024-11-26 20:01:03"
"35";"Natura Ekos - Sabonete Líquido de Maracujá";"Sabonete";"1";"41.90";"2024-11-26 20:01:03"
"36";"Natura Essencial - Creme Hidratante";"Hidratante";"1";"79.90";"2024-11-26 20:01:03"
"37";"Natura Mamãe e Bebê - Sabonete Líquido";"Sabonete";"1";"35.90";"2024-11-26 20:01:03"
"38";"Natura Humor - Desodorante Roll-On";"Hidratante";"1";"29.90";"2024-11-26 20:01:03"
"39";"Natura Kaiak - Desodorante Aerosol";"Hidratante";"1";"29.90";"2024-11-26 20:01:03"
"40";"Natura Ekos - Hidratante Corporal de Buriti";"Hidratante";"1";"79.90";"2024-11-26 20:01:03"
"41";"Natura Chronos - Creme Anti-Idade para os Olhos";"Hidratante";"1";"124.90";"2024-11-26 20:01:03"
"42";"Natura Lumina - Serum Rejuvenescedor";"Maquiagens";"1";"179.90";"2024-11-26 20:01:03"
"43";"Natura Tododia - Loção Hidratante Manteiga de Karité";"Hidratante";"1";"59.90";"2024-11-26 20:01:03"
"44";"Natura Kaiak - Shampoo e Condicionador 2 em 1";"Sabonete";"1";"59.90";"2024-11-26 20:01:03"
"45";"Natura Chronos - Gel de Limpeza Facial";"Maquiagens";"1";"59.90";"2024-11-26 20:01:03"
"46";"Natura Lumina - Reparador de Pontas";"Hidratante";"1";"44.90";"2024-11-26 20:01:03"
"47";"Natura Tododia - Hidratante Corporal de Limão e Mel";"Hidratante";"1";"49.90";"2024-11-26 20:01:03"
"48";"Natura Kaiak - Deodorante Roll-On Masculino";"Hidratante";"1";"39.90";"2024-11-26 20:01:03"
"49";"Natura Mamãe e Bebê - Óleo Corporal";"Bodysplash";"1";"49.90";"2024-11-26 20:01:03"
"50";"Natura Ekos - Sabonete em Barra de Castanha";"Sabonete";"1";"22.90";"2024-11-26 20:01:03"
"51";"Natura Ekos - Óleo Trifásico";"Bodysplash";"1";"99.90";"2024-11-26 20:01:03"
"id";"usuario";"senha"
"1";"super";"supermaster123"
"2";"man";"teste123"
"id_venda";"id_cliente";"id_produto";"quantidade";"endereco";"total";"data_venda"
"6";"2";"4";"2";"Av Savio Belota 158 - Centro";"409.80";"2024-11-26 18:54:34"
"7";"2";"4";"2";"Av Savio Belota 158 - Centro";"409.80";"2024-11-26 18:56:18"
"8";"2";"4";"1";"Av Savio Belota 158 - Centro";"204.90";"2024-11-26 18:56:41"
"9";"2";"4";"1";"Av Savio Belota 158 - Centro";"204.90";"2024-11-26 18:57:11"
"10";"2";"4";"3";"Av Savio Belota 158 - Centro";"614.70";"2024-11-26 18:58:48"
"11";"5";"16";"3";"Rua Getúlio Vargas, 567, Bairro São Raimundo, Manaus - AM";"119.70";"2024-11-26 20:57:14"
"12";"31";"10";"1";"Rua Almirante Barroso, 890, Bairro Nossa Senhora do Perpétuo Socorro, Manaus - AM";"149.90";"2024-11-26 21:02:06"
"13";"49";"7";"2";"Rua do Comércio, 123, Bairro Redenção, Manaus - AM";"111.80";"2024-11-26 21:02:43"
"14";"4";"44";"1";"Rua do Comércio, 123, Bairro Redenção, Manaus - AM";"59.90";"2024-11-26 21:07:45"
